ID,Temperature,Activity,pH,Study,CNs,Rsoil,Rscaled,Biomass,Bscaled,Ctot,Ctot.scaled,DOC,DOC.scaled,W,WHC,Clay,Silt,Type,Comment,WHC_100_pred,Time
1,280.07,1.0,6,"Alvarez et al., 1995",,31.74,0.50,31.78,1.39,1.79,1.00,,,28.60,97.8,20,66,Field,,29.23954288,
1,283.27,1.9,6,"Alvarez et al., 1995",,31.51,0.49,16.74,0.73,1.79,1.00,,,31.86,109.0,20,66,Field,,29.23954288,
1,286.58,2.8,6,"Alvarez et al., 1995",,63.70,1.00,22.90,1.00,1.79,1.00,,,29.95,102.4,20,66,Field,,29.23954288,
1,298.11,4.6,6,"Alvarez et al., 1995",,82.78,1.30,17.96,0.78,1.79,1.00,,,15.16,51.9,20,66,Field,,29.23954288,
1,296.36,6.5,6,"Alvarez et al., 1995",,143.62,2.25,22.17,0.97,1.79,1.00,,,22.19,75.9,20,66,Field,,29.23954288,
1,298.00,11.0,6,"Alvarez et al., 1995",,162.74,2.55,14.80,0.65,1.79,1.00,,,19.91,68.1,20,66,Field,,29.23954288,
2,278.15,0.8,6.1,"Cooper et al., 2011",18.66,4.17,0.14,11.13,1.71,2.00,1.00,,,25.00,82.2,,,Laboratory,,30.40284312,
2,288.15,6.1,6.1,"Cooper et al., 2011",18.66,21.01,0.69,7.59,1.17,2.00,1.00,,,25.00,82.2,,,Laboratory,,30.40284312,
2,298.15,10.4,6.1,"Cooper et al., 2011",18.66,30.50,1.00,6.49,1.00,2.00,1.00,,,25.00,82.2,,,Laboratory,,30.40284312,
2,308.15,24.7,6.1,"Cooper et al., 2011",18.66,36.35,1.19,3.27,0.50,2.00,1.00,,,25.00,82.2,,,Laboratory,,30.40284312,
3,278.15,1.2,6.3,"Cooper et al., 2011",17.50,7.34,0.24,13.56,2.09,2.50,1.25,,,28.50,86.2,,,Laboratory,,33.04505129,
3,288.15,3.8,6.3,"Cooper et al., 2011",17.50,20.75,0.68,12.06,1.86,2.50,1.25,,,28.50,86.2,,,Laboratory,,33.04505129,
3,298.15,6.7,6.3,"Cooper et al., 2011",17.50,29.22,0.96,9.63,1.48,2.50,1.25,,,28.50,86.2,,,Laboratory,,33.04505129,
3,308.15,25.5,6.3,"Cooper et al., 2011",17.50,41.99,1.38,3.66,0.56,2.50,1.25,,,28.50,86.2,,,Laboratory,,33.04505129,
4,278.15,2.0,5.65,"Pohhacker and Zech, 1995",44.91,672.77,1.06,333.06,0.73,37.24,1.03,,,90.91,102.2,,,Laboratory,,88.95558264,30
4,285.15,1.4,5.65,"Pohhacker and Zech, 1995",44.91,636.55,1.00,457.95,1.00,36.12,1.00,,,90.91,114.3,,,Laboratory,,79.53118129,30
4,295.15,2.7,5.65,"Pohhacker and Zech, 1995",44.91,857.45,1.35,316.40,0.69,34.39,0.95,,,90.91,134.8,,,Laboratory,,67.4217934,30
4,305.15,0.7,5.65,"Pohhacker and Zech, 1995",44.91,464.28,0.73,682.76,1.49,33.10,0.92,,,90.91,151.3,,,Laboratory,,60.10204085,30
5,278.15,0.9,5.65,"Pohhacker and Zech, 1995",44.91,594.84,2.26,632.81,2.30,34.77,1.09,,,90.91,130.1,,,Laboratory,,69.85013313,90
5,285.15,1.0,5.65,"Pohhacker and Zech, 1995",44.91,263.78,1.00,274.77,1.00,31.97,1.00,,,90.91,165.8,,,Laboratory,,54.84458319,90
5,295.15,0.5,5.65,"Pohhacker and Zech, 1995",44.91,224.81,0.85,416.32,1.52,31.33,0.98,,,90.91,173.9,,,Laboratory,,52.27904892,90
5,305.15,0.8,5.65,"Pohhacker and Zech, 1995",44.91,412.66,1.56,491.26,1.79,31.93,1.00,,,90.91,166.3,,,Laboratory,,54.66435484,90
6,278.15,0.5,5.65,"Pohhacker and Zech, 1995",44.91,275.77,4.63,599.50,1.31,32.82,1.11,,,90.91,154.9,,,Laboratory,,58.70774848,180
6,285.15,0.1,5.65,"Pohhacker and Zech, 1995",44.91,59.53,1.00,457.95,1.00,29.68,1.00,,,90.91,193.1,,,Laboratory,,47.07609322,180
6,295.15,0.3,5.65,"Pohhacker and Zech, 1995",44.91,150.04,2.52,441.30,0.96,27.96,0.94,,,90.91,209.0,,,Laboratory,,43.50265512,180
6,305.15,0.7,5.65,"Pohhacker and Zech, 1995",44.91,183.85,3.09,266.44,0.58,29.59,1.00,,,90.91,194.0,,,Laboratory,,46.85402339,180
7,278.15,0.0,5.65,"Pohhacker and Zech, 1995",44.91,12.66,0.12,632.81,1.55,30.86,1.10,,,90.91,179.6,,,Laboratory,,50.60943321,365
7,285.15,0.3,5.65,"Pohhacker and Zech, 1995",44.91,106.08,1.00,407.99,1.00,27.98,1.00,,,90.91,208.8,,,Laboratory,,43.53057698,365
7,295.15,0.1,5.65,"Pohhacker and Zech, 1995",44.91,55.95,0.53,466.28,1.14,23.15,0.83,,,90.91,220.2,,,Laboratory,,41.28103018,365
7,305.15,0.5,5.65,"Pohhacker and Zech, 1995",44.91,273.61,2.58,516.24,1.27,26.00,0.93,,,90.91,219.6,,,Laboratory,,41.40168285,365
8,278.15,0.0,5.65,"Pohhacker and Zech, 1995",44.91,5.16,0.19,258.12,3.44,30.77,1.15,,,90.91,180.7,,,Laboratory,,50.29695323,730
8,285.15,0.4,5.65,"Pohhacker and Zech, 1995",44.91,27.73,1.00,74.94,1.00,26.72,1.00,,,90.91,216.7,,,Laboratory,,41.95691635,730
8,295.15,0.2,5.65,"Pohhacker and Zech, 1995",44.91,52.21,1.88,274.77,3.67,20.22,0.76,,,90.91,208.5,,,Laboratory,,43.60241233,730
8,305.15,2.0,5.65,"Pohhacker and Zech, 1995",44.91,148.38,5.35,74.94,1.00,25.86,0.97,,,90.91,220.0,,,Laboratory,,41.32435312,730
9,278.15,0.1,5.18,"Pohhacker and Zech, 1995",21.70,18.65,0.44,133.22,0.57,10.90,1.02,,,90.91,175.0,,,Laboratory,,51.94567672,30
9,285.15,0.2,5.18,"Pohhacker and Zech, 1995",21.70,41.97,1.00,233.14,1.00,10.73,1.00,,,90.91,175.1,,,Laboratory,,51.93032812,30
9,295.15,2.6,5.18,"Pohhacker and Zech, 1995",21.70,197.84,4.71,74.94,0.32,10.73,1.00,,,90.91,175.1,,,Laboratory,,51.93032812,30
10,278.15,0.1,5.18,"Pohhacker and Zech, 1995",21.70,17.40,0.50,158.20,1.27,10.81,1.01,,,90.91,175.0,,,Laboratory,,51.93902626,90
10,285.15,0.3,5.18,"Pohhacker and Zech, 1995",21.70,34.97,1.00,124.90,1.00,10.67,1.00,,,90.91,175.1,,,Laboratory,,51.92259026,90
10,295.15,0.6,5.18,"Pohhacker and Zech, 1995",21.70,47.46,1.36,83.26,0.67,10.47,0.98,,,90.91,175.2,,,Laboratory,,51.88791571,90
11,278.15,0.1,5.18,"Pohhacker and Zech, 1995",21.70,7.99,0.21,133.22,2.29,9.16,1.01,,,90.91,177.4,,,Laboratory,,51.24304921,180
11,285.15,0.7,5.18,"Pohhacker and Zech, 1995",21.70,37.89,1.00,58.28,1.00,9.08,1.00,,,90.91,177.6,,,Laboratory,,51.18015293,180
11,295.15,1.7,5.18,"Pohhacker and Zech, 1995",21.70,42.96,1.13,24.98,0.43,8.93,0.98,,,90.91,178.1,,,Laboratory,,51.05193361,180
12,278.15,0.1,5.18,"Pohhacker and Zech, 1995",21.70,2.91,0.37,58.28,1.40,9.08,1.00,,,90.91,177.6,,,Laboratory,,51.17532623,365
12,285.15,0.2,5.18,"Pohhacker and Zech, 1995",21.70,7.91,1.00,41.63,1.00,9.08,1.00,,,90.91,177.6,,,Laboratory,,51.17532623,365
12,295.15,0.8,5.18,"Pohhacker and Zech, 1995",21.70,33.72,4.26,41.63,1.00,8.75,0.96,,,90.91,178.7,,,Laboratory,,50.87947129,365
13,278.15,0.1,5.18,"Pohhacker and Zech, 1995",21.70,3.33,0.24,66.61,1.00,8.81,1.00,,,90.91,178.4,,,Laboratory,,50.94401521,730
13,285.15,0.2,5.18,"Pohhacker and Zech, 1995",21.70,13.99,1.00,66.61,1.00,8.81,1.00,,,90.91,178.4,,,Laboratory,,50.94401521,730
13,295.15,0.4,5.18,"Pohhacker and Zech, 1995",21.70,13.32,0.95,33.31,0.50,8.61,0.98,,,90.91,179.2,,,Laboratory,,50.73735153,730
14,277.15,0.2,4.09,"Diakova et al., 2016",35.63,65.86,0.34,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,277.15,0.1,4.09,"Diakova et al., 2016",35.63,47.77,0.23,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,277.15,0.2,4.09,"Diakova et al., 2016",35.63,66.98,0.33,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
14,277.15,0.2,4.09,"Diakova et al., 2016",35.63,63.36,0.39,359.71,1.00,35.60,1.00,103.71,1.00,70.61,80,,,Laboratory,,75.605344,1
15,277.15,0.1,3.99,"Diakova et al., 2016",21.46,8.35,0.26,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
15,277.15,0.1,3.99,"Diakova et al., 2016",21.46,11.55,0.53,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
15,277.15,0.1,3.99,"Diakova et al., 2016",21.46,7.82,0.15,85.16,1.00,38.30,1.00,142.63,1.00,91.87,80,,,Laboratory,,99.142783,1
